timestamp,cpu_percent,ram_percent,gpu_percent,vram_percent
2025-10-30 12:58:28,0.0,62.7,5.0,4.541015625
2025-10-30 12:58:29,18.3,62.7,5.0,4.541015625
2025-10-30 12:58:30,13.8,62.6,5.0,4.541015625
2025-10-30 12:58:31,14.8,62.6,5.0,4.541015625
2025-10-30 12:58:32,13.0,62.6,5.0,4.541015625
2025-10-30 12:58:33,16.3,62.6,5.0,4.541015625
2025-10-30 12:58:34,14.9,62.6,5.0,4.541015625
2025-10-30 12:58:35,14.4,62.7,5.0,4.541015625
2025-10-30 12:58:36,16.1,62.7,5.0,4.541015625
2025-10-30 12:58:37,13.7,62.6,5.0,4.541015625
2025-10-30 12:58:39,12.1,62.7,5.0,4.541015625
2025-10-30 12:58:40,13.3,62.8,5.0,4.541015625
2025-10-30 12:58:41,17.9,62.9,5.0,4.541015625
2025-10-30 12:58:42,14.9,62.9,5.0,4.541015625
2025-10-30 12:58:43,11.5,63.0,4.0,4.541015625
2025-10-30 12:58:44,13.0,62.9,9.0,4.541015625
2025-10-30 12:58:45,14.1,63.0,4.0,4.541015625
2025-10-30 12:58:46,12.8,63.0,4.0,4.541015625
2025-10-30 12:58:47,12.7,63.0,4.0,4.541015625
2025-10-30 12:58:48,17.5,63.0,4.0,4.541015625
2025-10-30 12:58:49,16.6,63.1,4.0,4.541015625
2025-10-30 12:58:50,18.3,63.2,4.0,4.541015625
2025-10-30 12:58:51,10.7,63.2,8.0,4.541015625
2025-10-30 12:58:52,15.7,63.1,4.0,4.541015625
2025-10-30 12:58:53,10.5,59.7,4.0,4.541015625
2025-10-30 12:58:54,12.7,58.5,4.0,4.541015625
2025-10-30 12:58:55,6.5,58.3,4.0,4.541015625
2025-10-30 12:58:56,6.9,57.8,7.0,4.541015625
2025-10-30 12:58:57,7.3,57.6,4.0,4.541015625
2025-10-30 12:58:58,6.5,57.5,4.0,4.541015625
2025-10-30 12:58:59,5.8,57.4,4.0,4.541015625
2025-10-30 12:59:00,6.3,57.2,4.0,4.541015625
2025-10-30 12:59:01,6.2,57.1,4.0,4.541015625
